,Date,Time,Transaction,Item
0,2016-10-30,09:58:11,1,Bread
1,2016-10-30,10:05:34,2,Scandinavian
2,2016-10-30,10:05:34,2,Scandinavian
3,2016-10-30,10:07:57,3,Hot chocolate
4,2016-10-30,10:07:57,3,Jam
5,2016-10-30,10:07:57,3,Cookies
6,2016-10-30,10:08:41,4,Muffin
7,2016-10-30,10:13:03,5,Coffee
8,2016-10-30,10:13:03,5,Pastry
9,2016-10-30,10:13:03,5,Bread
10,2016-10-30,10:16:55,6,Medialuna
11,2016-10-30,10:16:55,6,Pastry
12,2016-10-30,10:16:55,6,Muffin
13,2016-10-30,10:19:12,7,Medialuna
14,2016-10-30,10:19:12,7,Pastry
15,2016-10-30,10:19:12,7,Coffee
16,2016-10-30,10:19:12,7,Tea
17,2016-10-30,10:20:51,8,Pastry
18,2016-10-30,10:20:51,8,Bread
19,2016-10-30,10:21:59,9,Bread
20,2016-10-30,10:21:59,9,Muffin
21,2016-10-30,10:25:58,10,Scandinavian
22,2016-10-30,10:25:58,10,Medialuna
23,2016-10-30,10:27:21,11,Bread
24,2016-10-30,10:27:21,11,Medialuna
25,2016-10-30,10:27:21,11,Bread
27,2016-10-30,10:30:14,12,Jam
28,2016-10-30,10:30:14,12,Coffee
29,2016-10-30,10:30:14,12,Tartine
30,2016-10-30,10:30:14,12,Pastry
31,2016-10-30,10:30:14,12,Tea
32,2016-10-30,10:31:24,13,Basket
33,2016-10-30,10:31:24,13,Bread
34,2016-10-30,10:31:24,13,Coffee
35,2016-10-30,10:32:46,14,Bread
36,2016-10-30,10:32:46,14,Medialuna
37,2016-10-30,10:32:46,14,Pastry
40,2016-10-30,10:34:36,15,Mineral water
41,2016-10-30,10:34:36,15,Scandinavian
42,2016-10-30,10:37:08,16,Bread
43,2016-10-30,10:37:08,16,Medialuna
44,2016-10-30,10:37:08,16,Coffee
45,2016-10-30,10:38:04,17,Hot chocolate
46,2016-10-30,10:41:56,18,Farm House
47,2016-10-30,10:43:08,19,Farm House
48,2016-10-30,10:43:08,19,Bread
49,2016-10-30,10:45:22,20,Bread
50,2016-10-30,10:45:22,20,Medialuna
51,2016-10-30,10:49:29,21,Coffee
52,2016-10-30,10:49:29,21,Coffee
53,2016-10-30,10:49:29,21,Medialuna
54,2016-10-30,10:49:29,21,Bread
55,2016-10-30,10:52:15,22,Jam
56,2016-10-30,10:53:49,23,Scandinavian
57,2016-10-30,10:53:49,23,Muffin
58,2016-10-30,10:54:33,24,Bread
59,2016-10-30,10:55:22,25,Scandinavian
60,2016-10-30,10:56:08,26,Fudge
61,2016-10-30,11:02:19,27,Scandinavian
62,2016-10-30,11:03:24,28,Coffee
63,2016-10-30,11:03:24,28,Bread
64,2016-10-30,11:05:30,29,Bread
65,2016-10-30,11:05:30,29,Jam
67,2016-10-30,11:07:19,30,Bread
68,2016-10-30,11:12:56,31,Basket
69,2016-10-30,11:16:15,32,Scandinavian
70,2016-10-30,11:16:15,32,Muffin
71,2016-10-30,11:22:49,33,Coffee
72,2016-10-30,11:25:45,34,Coffee
73,2016-10-30,11:25:45,34,Muffin
74,2016-10-30,11:27:34,35,Muffin
75,2016-10-30,11:27:34,35,Scandinavian
76,2016-10-30,11:33:08,36,Tea
77,2016-10-30,11:33:08,36,Bread
78,2016-10-30,11:37:10,37,Coffee
79,2016-10-30,11:37:10,37,Bread
81,2016-10-30,11:42:40,38,Bread
82,2016-10-30,11:42:40,38,Tea
83,2016-10-30,11:44:31,39,Scandinavian
84,2016-10-30,11:55:51,40,Juice
86,2016-10-30,11:55:51,40,Tartine
87,2016-10-30,11:55:51,40,Coffee
88,2016-10-30,11:55:51,40,Muffin
89,2016-10-30,11:57:06,41,Scandinavian
90,2016-10-30,11:57:45,42,Bread
91,2016-10-30,11:57:45,42,Tea
92,2016-10-30,12:00:22,43,Scandinavian
93,2016-10-30,12:00:22,43,Fudge
94,2016-10-30,12:05:47,44,Coffee
95,2016-10-30,12:05:47,44,Medialuna
96,2016-10-30,12:08:36,45,Coffee
97,2016-10-30,12:08:36,45,Hot chocolate
98,2016-10-30,12:08:36,45,Medialuna
99,2016-10-30,12:09:04,46,Coffee
100,2016-10-30,12:15:29,47,Ella's Kitchen Pouches
101,2016-10-30,12:15:29,47,Juice
102,2016-10-30,12:15:29,47,Bread
103,2016-10-30,12:15:29,47,Muffin
104,2016-10-30,12:15:29,47,Jam
105,2016-10-30,12:17:02,48,Coffee
106,2016-10-30,12:23:01,49,Coffee
107,2016-10-30,12:23:01,49,Coffee
108,2016-10-30,12:23:01,49,Medialuna
109,2016-10-30,12:25:11,50,Bread
110,2016-10-30,12:25:11,50,Victorian Sponge
111,2016-10-30,12:26:58,51,Bread
112,2016-10-30,12:28:07,52,Scandinavian
113,2016-10-30,12:33:08,54,Bread
114,2016-10-30,12:38:06,55,Frittata
115,2016-10-30,12:38:06,55,Coffee
116,2016-10-30,12:38:06,55,Tea
117,2016-10-30,12:38:06,55,Hearty & Seasonal
118,2016-10-30,12:39:27,56,Coffee
119,2016-10-30,12:39:27,56,Frittata
120,2016-10-30,12:45:48,57,Scandinavian
121,2016-10-30,12:59:29,58,Victorian Sponge
122,2016-10-30,12:59:29,58,Hot chocolate
123,2016-10-30,12:59:29,58,Tea
124,2016-10-30,12:59:29,58,Soup
125,2016-10-30,13:02:04,59,Tea
127,2016-10-30,13:14:04,60,Cookies
128,2016-10-30,13:14:04,60,Coffee
129,2016-10-30,13:14:04,60,Juice
130,2016-10-30,13:14:04,60,Coffee
131,2016-10-30,13:15:38,61,Coffee
132,2016-10-30,13:24:00,62,Pick and Mix Bowls
133,2016-10-30,13:24:00,62,Hearty & Seasonal
134,2016-10-30,13:24:00,62,Hearty & Seasonal
135,2016-10-30,13:24:00,62,Coffee
136,2016-10-30,13:24:00,62,Smoothies
